09:47:05: CPU=4.5%, RAM=2.3Gi/62Gi, Load=0.45
10:30:45: CPU=94.7%, RAM=24Gi/62Gi, Load=15.20
10:31:16: CPU=99.1%, RAM=25Gi/62Gi, Load=13.79
10:31:47: CPU=98.6%, RAM=25Gi/62Gi, Load=14.42
10:32:18: CPU=99.2%, RAM=25Gi/62Gi, Load=14.84
10:32:48: CPU=97.3%, RAM=25Gi/62Gi, Load=14.89
10:33:19: CPU=98.0%, RAM=25Gi/62Gi, Load=15.43
10:33:50: CPU=99.1%, RAM=25Gi/62Gi, Load=14.48
10:34:21: CPU=97.6%, RAM=25Gi/62Gi, Load=13.62
10:34:52: CPU=98.2%, RAM=26Gi/62Gi, Load=14.13
10:35:23: CPU=10.3%, RAM=3.7Gi/62Gi, Load=12.45
10:35:53: CPU=98.6%, RAM=9.6Gi/62Gi, Load=11.31
10:36:24: CPU=97.6%, RAM=9.2Gi/62Gi, Load=9.99
10:36:55: CPU=49.5%, RAM=11Gi/62Gi, Load=11.03
10:37:25: CPU=23.2%, RAM=11Gi/62Gi, Load=8.11
10:37:56: CPU=99.5%, RAM=15Gi/62Gi, Load=10.87
10:38:27: CPU=98.1%, RAM=15Gi/62Gi, Load=12.49
10:38:58: CPU=98.3%, RAM=12Gi/62Gi, Load=12.77
10:39:28: CPU=40.4%, RAM=12Gi/62Gi, Load=10.26
10:39:59: CPU=2.5%, RAM=7.0Gi/62Gi, Load=7.32
10:40:29: CPU=35.3%, RAM=7.1Gi/62Gi, Load=7.75
10:41:00: CPU=66.7%, RAM=6.1Gi/62Gi, Load=8.07
10:41:31: CPU=94.3%, RAM=9.6Gi/62Gi, Load=7.15
10:42:01: CPU=99.1%, RAM=10Gi/62Gi, Load=6.14
10:42:32: CPU=97.7%, RAM=11Gi/62Gi, Load=6.98
10:43:03: CPU=95.3%, RAM=13Gi/62Gi, Load=7.02
10:43:34: CPU=11.0%, RAM=13Gi/62Gi, Load=8.18
10:44:04: CPU=99.1%, RAM=14Gi/62Gi, Load=7.49
10:44:35: CPU=86.2%, RAM=15Gi/62Gi, Load=9.06
10:45:06: CPU=20.9%, RAM=15Gi/62Gi, Load=7.92
10:45:36: CPU=98.3%, RAM=12Gi/62Gi, Load=7.47
10:46:07: CPU=94.7%, RAM=14Gi/62Gi, Load=5.55
10:46:37: CPU=85.7%, RAM=15Gi/62Gi, Load=3.50
10:47:08: CPU=98.6%, RAM=11Gi/62Gi, Load=5.35
10:47:39: CPU=95.5%, RAM=11Gi/62Gi, Load=6.56
10:48:10: CPU=25.0%, RAM=12Gi/62Gi, Load=7.24
10:48:40: CPU=98.6%, RAM=10Gi/62Gi, Load=4.14
10:49:12: CPU=98.6%, RAM=12Gi/62Gi, Load=6.98
10:49:43: CPU=99.1%, RAM=12Gi/62Gi, Load=8.31
10:50:14: CPU=86.7%, RAM=14Gi/62Gi, Load=10.17
10:50:44: CPU=94.8%, RAM=14Gi/62Gi, Load=10.08
10:51:15: CPU=98.9%, RAM=16Gi/62Gi, Load=8.85
10:51:46: CPU=16.9%, RAM=14Gi/62Gi, Load=8.39
10:52:17: CPU=2.9%, RAM=8.1Gi/62Gi, Load=6.02
10:52:48: CPU=99.1%, RAM=9.9Gi/62Gi, Load=3.71
10:53:18: CPU=98.6%, RAM=10Gi/62Gi, Load=5.20
10:53:49: CPU=7.3%, RAM=10Gi/62Gi, Load=6.55
10:54:19: CPU=50.2%, RAM=8.4Gi/62Gi, Load=6.28
10:54:50: CPU=98.2%, RAM=9.6Gi/62Gi, Load=5.15
10:55:21: CPU=87.0%, RAM=11Gi/62Gi, Load=8.68
10:55:52: CPU=99.1%, RAM=10Gi/62Gi, Load=8.67
10:56:23: CPU=99.1%, RAM=6.9Gi/62Gi, Load=6.96
10:56:54: CPU=95.9%, RAM=8.6Gi/62Gi, Load=7.52
10:57:25: CPU=99.1%, RAM=7.1Gi/62Gi, Load=7.13
10:57:56: CPU=99.1%, RAM=7.0Gi/62Gi, Load=10.62
10:58:27: CPU=99.1%, RAM=7.0Gi/62Gi, Load=12.44
10:58:58: CPU=99.1%, RAM=7.1Gi/62Gi, Load=11.72
10:59:29: CPU=98.8%, RAM=7.1Gi/62Gi, Load=13.10
11:00:00: CPU=98.6%, RAM=7.1Gi/62Gi, Load=14.05
11:00:31: CPU=98.7%, RAM=8.1Gi/62Gi, Load=13.70
11:01:02: CPU=96.6%, RAM=8.1Gi/62Gi, Load=14.47
11:01:32: CPU=99.2%, RAM=8.1Gi/62Gi, Load=14.64
11:02:03: CPU=98.2%, RAM=8.1Gi/62Gi, Load=14.61
11:02:34: CPU=99.1%, RAM=9.1Gi/62Gi, Load=14.43
11:03:05: CPU=99.1%, RAM=9.1Gi/62Gi, Load=13.42
11:03:35: CPU=99.1%, RAM=9.1Gi/62Gi, Load=14.02
11:04:07: CPU=28.6%, RAM=9.1Gi/62Gi, Load=14.98
11:04:37: CPU=99.1%, RAM=10Gi/62Gi, Load=13.39
11:05:08: CPU=99.1%, RAM=10Gi/62Gi, Load=14.24
11:05:39: CPU=99.1%, RAM=10Gi/62Gi, Load=13.78
11:06:10: CPU=98.2%, RAM=10Gi/62Gi, Load=13.37
11:06:41: CPU=99.1%, RAM=10Gi/62Gi, Load=11.51
11:07:12: CPU=3.9%, RAM=5.6Gi/62Gi, Load=8.30
11:07:42: CPU=97.6%, RAM=8.6Gi/62Gi, Load=10.34
11:08:13: CPU=99.0%, RAM=8.6Gi/62Gi, Load=11.87
11:08:44: CPU=98.2%, RAM=9.6Gi/62Gi, Load=11.66
11:09:15: CPU=3.6%, RAM=9.6Gi/62Gi, Load=14.10
11:09:46: CPU=95.0%, RAM=20Gi/62Gi, Load=9.91
11:10:17: CPU=98.1%, RAM=20Gi/62Gi, Load=11.88
11:10:48: CPU=97.4%, RAM=20Gi/62Gi, Load=13.27
11:11:19: CPU=97.8%, RAM=21Gi/62Gi, Load=12.82
11:11:50: CPU=99.2%, RAM=25Gi/62Gi, Load=12.19
11:12:21: CPU=98.1%, RAM=25Gi/62Gi, Load=14.36
11:12:52: CPU=96.0%, RAM=25Gi/62Gi, Load=14.97
11:13:23: CPU=92.7%, RAM=25Gi/62Gi, Load=15.06
11:13:54: CPU=92.7%, RAM=26Gi/62Gi, Load=15.68
11:14:25: CPU=99.0%, RAM=26Gi/62Gi, Load=15.20
11:14:56: CPU=98.3%, RAM=26Gi/62Gi, Load=15.16
11:15:27: CPU=98.1%, RAM=24Gi/62Gi, Load=13.40
11:15:58: CPU=99.2%, RAM=24Gi/62Gi, Load=13.34
11:16:29: CPU=97.1%, RAM=24Gi/62Gi, Load=14.06
11:17:00: CPU=96.8%, RAM=24Gi/62Gi, Load=13.94
11:17:30: CPU=99.1%, RAM=24Gi/62Gi, Load=13.29
11:18:01: CPU=97.6%, RAM=24Gi/62Gi, Load=13.58
11:18:32: CPU=97.0%, RAM=24Gi/62Gi, Load=14.33
11:19:03: CPU=95.8%, RAM=25Gi/62Gi, Load=13.96
11:19:34: CPU=82.2%, RAM=25Gi/62Gi, Load=14.27
11:20:05: CPU=99.1%, RAM=25Gi/62Gi, Load=11.50
11:20:35: CPU=98.3%, RAM=24Gi/62Gi, Load=13.02
11:21:06: CPU=57.9%, RAM=24Gi/62Gi, Load=14.03
11:21:37: CPU=99.5%, RAM=25Gi/62Gi, Load=13.58
11:22:08: CPU=92.8%, RAM=25Gi/62Gi, Load=11.71
11:22:39: CPU=98.2%, RAM=25Gi/62Gi, Load=12.18
11:23:10: CPU=12.3%, RAM=2.3Gi/62Gi, Load=11.67
11:23:40: CPU=93.7%, RAM=9.7Gi/62Gi, Load=8.78
11:24:11: CPU=98.2%, RAM=9.3Gi/62Gi, Load=9.61
11:24:41: CPU=3.2%, RAM=10Gi/62Gi, Load=10.91
11:25:12: CPU=95.2%, RAM=11Gi/62Gi, Load=9.81
11:25:43: CPU=99.1%, RAM=15Gi/62Gi, Load=10.03
11:26:14: CPU=99.1%, RAM=15Gi/62Gi, Load=11.81
11:26:45: CPU=62.6%, RAM=12Gi/62Gi, Load=13.45
11:27:15: CPU=95.9%, RAM=12Gi/62Gi, Load=10.29
11:27:46: CPU=23.6%, RAM=6.6Gi/62Gi, Load=9.00
11:28:16: CPU=98.3%, RAM=7.8Gi/62Gi, Load=5.95
11:28:47: CPU=7.8%, RAM=6.8Gi/62Gi, Load=4.75
11:29:18: CPU=73.5%, RAM=9.2Gi/62Gi, Load=6.53
11:29:49: CPU=95.1%, RAM=11Gi/62Gi, Load=5.72
11:30:20: CPU=56.1%, RAM=11Gi/62Gi, Load=6.02
11:30:50: CPU=95.0%, RAM=13Gi/62Gi, Load=5.51
11:31:21: CPU=23.2%, RAM=12Gi/62Gi, Load=7.46
11:31:52: CPU=98.3%, RAM=14Gi/62Gi, Load=5.40
11:32:23: CPU=22.9%, RAM=14Gi/62Gi, Load=5.41
11:32:53: CPU=5.9%, RAM=15Gi/62Gi, Load=7.08
11:33:24: CPU=65.4%, RAM=13Gi/62Gi, Load=5.89
11:33:54: CPU=43.9%, RAM=14Gi/62Gi, Load=5.81
11:34:25: CPU=92.2%, RAM=11Gi/62Gi, Load=8.63
11:34:56: CPU=99.0%, RAM=13Gi/62Gi, Load=9.23
11:35:27: CPU=96.5%, RAM=12Gi/62Gi, Load=7.85
11:35:58: CPU=15.2%, RAM=11Gi/62Gi, Load=7.82
11:36:28: CPU=97.1%, RAM=9.9Gi/62Gi, Load=7.03
11:36:59: CPU=99.1%, RAM=12Gi/62Gi, Load=7.96
11:37:30: CPU=98.2%, RAM=12Gi/62Gi, Load=9.76
11:38:01: CPU=97.2%, RAM=15Gi/62Gi, Load=6.69
11:38:32: CPU=97.6%, RAM=14Gi/62Gi, Load=8.02
11:39:02: CPU=94.5%, RAM=14Gi/62Gi, Load=8.91
11:39:33: CPU=12.3%, RAM=15Gi/62Gi, Load=10.67
11:40:04: CPU=98.1%, RAM=8.9Gi/62Gi, Load=8.87
11:40:35: CPU=99.1%, RAM=10Gi/62Gi, Load=8.24
11:41:06: CPU=98.6%, RAM=12Gi/62Gi, Load=6.89
11:41:36: CPU=99.1%, RAM=11Gi/62Gi, Load=7.79
11:42:07: CPU=98.9%, RAM=8.4Gi/62Gi, Load=8.16
11:42:38: CPU=99.1%, RAM=9.9Gi/62Gi, Load=6.30
11:43:09: CPU=97.8%, RAM=12Gi/62Gi, Load=8.15
11:43:40: CPU=24.8%, RAM=10Gi/62Gi, Load=7.19
11:44:10: CPU=94.4%, RAM=7.7Gi/62Gi, Load=6.05
11:44:41: CPU=21.2%, RAM=6.2Gi/62Gi, Load=6.83
11:45:12: CPU=98.6%, RAM=7.7Gi/62Gi, Load=8.96
11:45:42: CPU=98.7%, RAM=7.6Gi/62Gi, Load=11.07
11:46:13: CPU=98.7%, RAM=7.7Gi/62Gi, Load=12.48
11:46:44: CPU=99.1%, RAM=7.7Gi/62Gi, Load=12.96
11:47:15: CPU=99.1%, RAM=7.7Gi/62Gi, Load=13.65
11:47:46: CPU=99.1%, RAM=8.7Gi/62Gi, Load=12.47
11:48:17: CPU=98.7%, RAM=8.6Gi/62Gi, Load=14.04
11:48:48: CPU=98.6%, RAM=8.7Gi/62Gi, Load=14.50
11:49:19: CPU=99.1%, RAM=8.7Gi/62Gi, Load=13.82
11:49:50: CPU=95.1%, RAM=9.7Gi/62Gi, Load=13.27
11:50:21: CPU=99.1%, RAM=9.7Gi/62Gi, Load=12.87
11:50:52: CPU=98.7%, RAM=9.7Gi/62Gi, Load=13.99
11:51:22: CPU=98.2%, RAM=9.7Gi/62Gi, Load=13.56
11:51:53: CPU=97.8%, RAM=10Gi/62Gi, Load=10.97
11:52:25: CPU=99.1%, RAM=10Gi/62Gi, Load=11.43
11:52:56: CPU=99.1%, RAM=10Gi/62Gi, Load=11.95
11:53:27: CPU=99.1%, RAM=10Gi/62Gi, Load=13.67
11:53:57: CPU=12.4%, RAM=10Gi/62Gi, Load=12.11
11:54:28: CPU=98.6%, RAM=11Gi/62Gi, Load=8.34
11:54:58: CPU=98.7%, RAM=9.2Gi/62Gi, Load=7.26
11:55:29: CPU=95.8%, RAM=9.2Gi/62Gi, Load=9.75
11:56:00: CPU=98.6%, RAM=10Gi/62Gi, Load=9.96
11:56:31: CPU=98.6%, RAM=10Gi/62Gi, Load=12.10
11:57:01: CPU=4.4%, RAM=15Gi/62Gi, Load=11.26
11:57:31: CPU=92.2%, RAM=21Gi/62Gi, Load=12.79
11:58:02: CPU=98.2%, RAM=21Gi/62Gi, Load=13.65
11:58:33: CPU=7.2%, RAM=21Gi/62Gi, Load=13.20
11:59:03: CPU=98.3%, RAM=22Gi/62Gi, Load=13.45
11:59:35: CPU=96.4%, RAM=25Gi/62Gi, Load=12.05
12:00:05: CPU=98.7%, RAM=25Gi/62Gi, Load=13.71
12:00:36: CPU=85.5%, RAM=25Gi/62Gi, Load=14.35
12:01:07: CPU=97.1%, RAM=26Gi/62Gi, Load=15.24
12:01:38: CPU=98.1%, RAM=26Gi/62Gi, Load=14.65
12:02:09: CPU=98.3%, RAM=26Gi/62Gi, Load=14.98
12:02:40: CPU=97.7%, RAM=26Gi/62Gi, Load=15.09
12:03:11: CPU=90.7%, RAM=26Gi/62Gi, Load=14.58
12:03:42: CPU=98.3%, RAM=24Gi/62Gi, Load=14.28
12:04:12: CPU=97.7%, RAM=24Gi/62Gi, Load=14.82
12:04:44: CPU=97.7%, RAM=25Gi/62Gi, Load=15.21
12:05:14: CPU=94.2%, RAM=25Gi/62Gi, Load=15.56
12:05:45: CPU=97.7%, RAM=25Gi/62Gi, Load=15.08
12:06:16: CPU=55.8%, RAM=25Gi/62Gi, Load=14.09
12:06:47: CPU=98.4%, RAM=25Gi/62Gi, Load=14.47
12:07:18: CPU=96.3%, RAM=24Gi/62Gi, Load=12.76
12:07:49: CPU=98.7%, RAM=25Gi/62Gi, Load=12.77
12:08:20: CPU=98.7%, RAM=25Gi/62Gi, Load=14.16
12:08:51: CPU=99.1%, RAM=26Gi/62Gi, Load=14.16
12:09:21: CPU=6.4%, RAM=26Gi/62Gi, Load=13.71
12:09:51: CPU=92.4%, RAM=26Gi/62Gi, Load=12.85
12:10:23: CPU=99.1%, RAM=26Gi/62Gi, Load=11.83
12:10:53: CPU=0.5%, RAM=2.1Gi/62Gi, Load=7.22
12:11:23: CPU=0.5%, RAM=2.1Gi/62Gi, Load=4.37
12:11:54: CPU=0.5%, RAM=2.1Gi/62Gi, Load=2.65
12:12:24: CPU=0.5%, RAM=2.1Gi/62Gi, Load=1.60
12:12:54: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.97
12:13:24: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.59
12:13:55: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.36
12:14:25: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.21
12:14:55: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.13
12:15:26: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.08
12:15:56: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.05
12:16:26: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.08
12:16:56: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.05
12:17:27: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.03
12:17:57: CPU=0.9%, RAM=2.1Gi/62Gi, Load=0.01
12:18:27: CPU=1.0%, RAM=2.1Gi/62Gi, Load=0.09
12:18:58: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.05
12:19:28: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.03
12:19:58: CPU=0.0%, RAM=2.1Gi/62Gi, Load=0.02
12:20:29: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.01
12:20:59: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.00
12:21:29: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.00
12:21:59: CPU=1.0%, RAM=2.1Gi/62Gi, Load=0.00
12:22:30: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.07
12:23:00: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.04
12:23:30: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.08
12:24:01: CPU=1.0%, RAM=2.1Gi/62Gi, Load=0.05
12:24:31: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.09
12:25:01: CPU=1.4%, RAM=2.1Gi/62Gi, Load=0.11
12:25:31: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.06
12:26:02: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.04
12:26:32: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.08
12:27:02: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.12
12:27:33: CPU=1.0%, RAM=2.1Gi/62Gi, Load=0.07
12:28:03: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.10
12:28:33: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.06
12:29:03: CPU=1.0%, RAM=2.1Gi/62Gi, Load=0.03
12:29:34: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.02
12:30:04: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.01
12:30:34: CPU=0.0%, RAM=2.1Gi/62Gi, Load=0.00
12:31:05: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.00
12:31:35: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.00
12:32:05: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.00
12:32:35: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.12
12:33:06: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.07
12:33:36: CPU=0.9%, RAM=2.1Gi/62Gi, Load=0.04
12:34:06: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.02
12:34:37: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.01
12:35:07: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.01
12:35:37: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.00
12:36:07: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.00
12:36:38: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.00
12:37:08: CPU=0.0%, RAM=2.1Gi/62Gi, Load=0.00
12:37:38: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.00
12:38:09: CPU=1.0%, RAM=2.1Gi/62Gi, Load=0.00
12:38:39: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.00
12:39:09: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.06
12:39:40: CPU=1.0%, RAM=2.1Gi/62Gi, Load=0.12
12:40:10: CPU=1.0%, RAM=2.1Gi/62Gi, Load=0.07
12:40:40: CPU=1.0%, RAM=2.1Gi/62Gi, Load=0.04
12:41:10: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.02
12:41:41: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.09
12:42:11: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.05
12:42:41: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.03
12:43:12: CPU=0.0%, RAM=2.1Gi/62Gi, Load=0.07
12:43:42: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.11
12:44:12: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.19
12:44:42: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.10
12:45:13: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.06
12:45:43: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.04
12:46:13: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.02
12:46:44: CPU=1.0%, RAM=2.1Gi/62Gi, Load=0.01
12:47:14: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.01
12:47:44: CPU=1.0%, RAM=2.1Gi/62Gi, Load=0.07
12:48:14: CPU=1.0%, RAM=2.1Gi/62Gi, Load=0.11
12:48:45: CPU=1.0%, RAM=2.1Gi/62Gi, Load=0.07
12:49:15: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.04
12:49:45: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.02
12:50:16: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.40
12:50:46: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.24
12:51:16: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.15
12:51:47: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.09
12:52:17: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.05
12:52:47: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.03
12:53:17: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.25
12:53:48: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.14
12:54:18: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.08
12:54:48: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.05
12:55:19: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.10
12:55:49: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.06
12:56:19: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.03
12:56:49: CPU=1.0%, RAM=2.1Gi/62Gi, Load=0.13
12:57:20: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.15
12:57:50: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.09
12:58:20: CPU=0.5%, RAM=2.1Gi/62Gi, Load=0.05
12:58:51: CPU=1.0%, RAM=2.1Gi/62Gi, Load=0.03
12:59:21: CPU=0.5%, RAM=2.0Gi/62Gi, Load=0.07
